,event_people_assoc_id,event_id,person_id,person_role
5459350,28516,11912,1176.0,Purchaser
5461800,28517,11912,1177.0,Purchaser
5461804,28518,11912,1178.0,Purchaser
5461807,28519,11913,1026.0,Owner
5461809,28520,11913,1027.0,Owner
5461810,28521,11913,1028.0,Owner
5461811,28522,11914,2941.0,Owner
5461815,28523,11915,1176.0,Purchaser
5464265,28524,11915,1177.0,Purchaser
5464269,28525,11915,1178.0,Purchaser
5464272,28526,11916,2702.0,Owner
5464274,28527,11916,2703.0,Owner
5464275,28528,11917,624.0,Owner
5464277,28529,11917,625.0,Owner
5464278,28530,11918,1234.0,Owner
5464281,28531,11919,1187.0,Owner
5464284,28532,11920,1955.0,Owner
5464287,28533,11921,1176.0,Purchaser
5466737,28534,11921,1177.0,Purchaser
5466741,28535,11921,1178.0,Purchaser
5466744,28536,11922,2033.0,Owner
5466747,28537,11923,1178.0,Owner
5466750,28538,11924,2124.0,Owner
5466752,28539,11924,2125.0,Owner
5466753,28540,11925,1176.0,Purchaser
5469203,28541,11925,1177.0,Purchaser
5469207,28542,11925,1178.0,Purchaser
5469210,28543,11926,2676.0,Owner
5469213,28544,11926,2677.0,Owner
5469222,28545,11927,1176.0,Purchaser
5471672,28546,11927,1177.0,Purchaser
5471676,28547,11927,1178.0,Purchaser
5471679,28548,11928,732.0,Owner
5471685,28549,11928,733.0,Owner
5471686,28550,11928,734.0,Owner
5471687,28551,11928,735.0,Owner
5471692,28552,11928,736.0,Owner
5471695,28553,11929,1276.0,Owner
5471701,28554,11929,1277.0,Owner
5471702,28555,11929,1278.0,Owner
5471705,28556,11929,1279.0,Owner
5471706,28557,11929,1280.0,Owner
5471707,28558,11929,1281.0,Owner
5471708,28559,11929,1282.0,Owner
5471709,28560,11930,1176.0,Purchaser
5474159,28561,11930,1177.0,Purchaser
5474163,28562,11930,1178.0,Purchaser
5474166,28563,11931,3132.0,Owner
5474170,28564,11932,1781.0,Owner
5474172,28565,11932,1782.0,Owner
5474173,28566,11933,1176.0,Purchaser
5476623,28567,11933,1177.0,Purchaser
5476627,28568,11933,1178.0,Purchaser
5476630,28569,11934,2125.0,Owner
5476631,28570,11934,2126.0,Owner
5476632,28571,11934,2127.0,Owner
5476643,28572,11935,887.0,Owner
5476645,28573,11935,888.0,Owner
5476646,28574,11935,889.0,Owner
5476647,28575,11936,1579.0,Owner
5476648,28576,11936,1580.0,Owner
5476649,28577,11936,1581.0,Owner
5476650,28578,11937,1176.0,Purchaser
5479100,28579,11937,1177.0,Purchaser
5479104,28580,11937,1178.0,Purchaser
5479107,28581,11938,2262.0,Owner
5479110,28582,11938,2263.0,Owner
5479111,28583,11939,663.0,Owner
5479115,28584,11940,1176.0,Purchaser
5481565,28585,11940,1177.0,Purchaser
5481569,28586,11940,1178.0,Purchaser
5481572,28587,11941,2387.0,Owner
5481575,28588,11941,2388.0,Owner
5481594,28589,11942,703.0,Owner
5481615,28590,11942,704.0,Owner
5481616,28591,11942,705.0,Owner
5481618,28592,11942,706.0,Owner
5481619,28593,11942,707.0,Owner
5481622,28594,11942,708.0,Owner
5481623,28595,11943,1176.0,Purchaser
5484073,28596,11943,1177.0,Purchaser
5484077,28597,11943,1178.0,Purchaser
5484080,28598,11944,2782.0,Owner
5484083,28599,11944,2783.0,Owner
5484085,28600,11945,1176.0,Purchaser
5486535,28601,11945,1177.0,Purchaser
5486539,28602,11945,1178.0,Purchaser
5486542,28603,11946,366.0,Owner
5486544,28604,11946,367.0,Owner
5486545,28605,11947,2178.0,Owner
5486546,28606,11947,2179.0,Owner
5486548,28607,11948,2699.0,Owner
5486549,28608,11948,2700.0,Owner
5486550,28609,11948,2701.0,Owner
5486551,28610,11949,2037.0,Owner
5486553,28611,11949,2038.0,Owner
5486554,28612,11950,1176.0,Purchaser
5489004,28613,11950,1177.0,Purchaser
5489008,28614,11950,1178.0,Purchaser
5489011,28615,11951,381.0,Owner
5489024,28616,11951,382.0,Owner
5489025,28617,11951,383.0,Owner
5489029,28618,11952,2378.0,Owner
5489032,28619,11952,2379.0,Owner
5489050,28620,11953,2440.0,Owner
5489051,28621,11953,2441.0,Owner
5489052,28622,11953,2442.0,Owner
5489053,28623,11953,2443.0,Owner
5489071,28624,11954,377.0,Owner
5489087,28625,11954,378.0,Owner
5489091,28626,11955,1527.0,Owner
5489093,28627,11955,1528.0,Owner
5489101,28628,11956,1176.0,Purchaser
5491551,28629,11956,1177.0,Purchaser
5491555,28630,11956,1178.0,Purchaser
5491558,28631,11957,242.0,Owner
5491561,28632,11958,1866.0,Owner
5491563,28633,11958,1867.0,Owner
5491565,28634,11959,854.0,Owner
5491574,28635,11959,855.0,Owner
5491575,28636,11960,1176.0,Purchaser
5494025,28637,11960,1177.0,Purchaser
5494029,28638,11960,1178.0,Purchaser
5494032,28639,11961,2531.0,Owner
5494034,28640,11961,2532.0,Owner
5494043,28641,11962,2572.0,Owner
5494045,28642,11962,2573.0,Owner
5494055,28643,11963,2704.0,Owner
5494057,28644,11963,2705.0,Owner
5494065,28645,11964,2084.0,Owner
5494067,28646,11964,2085.0,Owner
5494070,28647,11965,1176.0,Purchaser
5496520,28648,11965,1177.0,Purchaser
5496524,28649,11965,1178.0,Purchaser
5496527,28650,11966,2948.0,Owner
5496528,28651,11966,2949.0,Owner
5496529,28652,11966,2950.0,Owner
5496530,28653,11967,721.0,Owner
5496531,28654,11967,722.0,Owner
5496533,28655,11968,3153.0,Owner
5496534,28656,11968,3154.0,Owner
5496536,28657,11969,857.0,Owner
5496538,28658,11969,858.0,Owner
5496539,28659,11970,1176.0,Purchaser
5498989,28660,11970,1177.0,Purchaser
5498993,28661,11970,1178.0,Purchaser
5498996,28662,11971,1732.0,Owner
5498997,28663,11971,1733.0,Owner
5498999,28664,11972,2377.0,Owner
5499002,28665,11973,1176.0,Purchaser
5501452,28666,11973,1177.0,Purchaser
5501456,28667,11973,1178.0,Purchaser
5501459,28668,11974,1152.0,Owner
5501461,28669,11974,1153.0,Owner
5501463,28670,11975,956.0,Owner
5501464,28671,11975,957.0,Owner
5501466,28672,11976,2921.0,Owner
5501468,28673,11976,2922.0,Owner
5501469,28674,11977,1119.0,Owner
5501472,28675,11978,2110.0,Owner
5501474,28676,11978,2111.0,Owner
5501475,28677,11979,2960.0,Owner
5501476,28678,11979,2961.0,Owner
5501477,28679,11979,2962.0,Owner
5501478,28680,11980,412.0,Owner
5501481,28681,11981,1867.0,Owner
5501483,28682,11981,1868.0,Owner
5501484,28683,11982,1176.0,Purchaser
5503934,28684,11982,1177.0,Purchaser
5503938,28685,11982,1178.0,Purchaser
5503941,28686,11983,297.0,Owner
5503942,28687,11983,298.0,Owner
5503945,28688,11983,299.0,Owner
5503947,28689,11984,1176.0,Purchaser
5506397,28690,11984,1177.0,Purchaser
5506401,28691,11984,1178.0,Purchaser
5506404,28692,11985,1276.0,Owner
5506410,28693,11985,1277.0,Owner
5506411,28694,11985,1278.0,Owner
5506414,28695,11985,1279.0,Owner
5506415,28696,11985,1280.0,Owner
5506416,28697,11985,1281.0,Owner
5506417,28698,11985,1282.0,Owner
5506418,28699,11986,732.0,Owner
5506424,28700,11986,733.0,Owner
5506425,28701,11986,734.0,Owner
5506426,28702,11986,735.0,Owner
5506431,28703,11986,736.0,Owner
5506434,28704,11987,1176.0,Owner
5508884,28705,11987,1177.0,Owner
5508888,28706,11987,1178.0,Owner
5508891,28707,11988,1484.0,Owner
5508894,28708,11989,2552.0,Owner
5508897,28709,11990,260.0,Owner
5508898,28710,11990,261.0,Owner
5508899,28711,11990,262.0,Owner
5508900,28712,11991,2650.0,Owner
5508903,28713,11992,2355.0,Owner
5508905,28714,11992,2356.0,Owner
5508906,28715,11993,2231.0,Owner
5508909,28716,11994,992.0,Owner
5508910,28717,11994,993.0,Owner
5508912,28718,11995,1176.0,Purchaser
5511362,28719,11995,1177.0,Purchaser
5511366,28720,11995,1178.0,Purchaser
5511369,28721,11996,2387.0,Owner
5511372,28722,11996,2388.0,Owner
5511391,28723,11997,703.0,Owner
5511412,28724,11997,704.0,Owner
5511413,28725,11997,705.0,Owner
5511415,28726,11997,706.0,Owner
5511416,28727,11997,707.0,Owner
5511419,28728,11997,708.0,Owner
5511420,28729,11998,1176.0,Purchaser
5513870,28730,11998,1177.0,Purchaser
5513874,28731,11998,1178.0,Purchaser
5513877,28732,11999,2138.0,Owner
5513879,28733,11999,2139.0,Owner
5513880,28734,12000,331.0,Owner
5513883,28735,12001,3074.0,Owner
5513886,28736,12002,870.0,Owner
5513888,28737,12002,871.0,Owner
5513889,28738,12002,872.0,Owner
5513890,28739,12003,1176.0,Purchaser
5516340,28740,12003,1177.0,Purchaser
5516344,28741,12003,1178.0,Purchaser
5516347,28742,12004,1457.0,Owner
5516349,28743,12004,1458.0,Owner
5516350,28744,12005,740.0,Owner
5516351,28745,12005,741.0,Owner
5516352,28746,12005,742.0,Owner
5516353,28747,12006,1176.0,Owner
5518803,28748,12006,1177.0,Owner
5518807,28749,12006,1178.0,Owner
5518810,28750,12007,381.0,Owner
5518823,28751,12007,382.0,Owner
5518824,28752,12007,383.0,Owner
5518828,28753,12008,2378.0,Owner
5518831,28754,12008,2379.0,Owner
5518849,28755,12009,2440.0,Owner
5518850,28756,12009,2441.0,Owner
5518851,28757,12009,2442.0,Owner
5518852,28758,12009,2443.0,Owner
5518870,28759,12010,377.0,Owner
5518886,28760,12010,378.0,Owner
5518890,28761,12011,1527.0,Owner
5518892,28762,12011,1528.0,Owner
5518900,28763,12012,1176.0,Purchaser
5521350,28764,12012,1177.0,Purchaser
5521354,28765,12012,1178.0,Purchaser
5521357,28766,12013,3023.0,Owner
5521359,28767,12013,3024.0,Owner
5521360,28768,12013,3025.0,Owner
5521361,28769,12014,2119.0,Owner
5521363,28770,12014,2120.0,Owner
5521365,28771,12015,1176.0,Purchaser
5523815,28772,12015,1177.0,Purchaser
5523819,28773,12015,1178.0,Purchaser
5523822,28774,12016,2549.0,Owner
5523825,28775,12017,1133.0,Owner
5523827,28776,12017,1134.0,Owner
5523829,28777,12018,1252.0,Owner
5523830,28778,12018,1253.0,Owner
5523831,28779,12018,1254.0,Owner
5523832,28780,12019,1201.0,Owner
5523835,28781,12020,1502.0,Owner
5523838,28782,12021,2868.0,Owner
5523839,28783,12021,2869.0,Owner
5523841,28784,12022,1777.0,Owner
5523844,28785,12023,2293.0,Owner
5523846,28786,12023,2294.0,Owner
5523847,28787,12024,2634.0,Owner
5523850,28788,12025,29.0,Owner
5523853,28789,12026,1176.0,Purchaser
5526303,28790,12026,1177.0,Purchaser
5526307,28791,12026,1178.0,Purchaser
5526310,28792,12027,2746.0,Owner
5526313,28793,12027,2747.0,Owner
5526319,28794,12028,2153.0,Owner
5526320,28795,12028,2154.0,Owner
5526321,28796,12028,2155.0,Owner
5526330,28797,12029,1365.0,Owner
5526331,28798,12029,1366.0,Owner
5526334,28799,12030,266.0,Owner
5526335,28800,12030,267.0,Owner
5526339,28801,12030,268.0,Owner
5526340,28802,12031,1176.0,Purchaser
5528790,28803,12031,1177.0,Purchaser
5528794,28804,12031,1178.0,Purchaser
5528797,28805,12032,1942.0,Owner
5528798,28806,12032,1943.0,Owner
5528799,28807,12032,1944.0,Owner
5528835,28808,12033,636.0,Owner
5528853,28809,12034,1176.0,Purchaser
5531303,28810,12034,1177.0,Purchaser
