parcel_id,block_num,parcel_num,ward_num,land_use
566,14,14,4,Residential
567,14,15,4,Residential
568,14,16,4,Residential
569,15,1,4,Residential
570,15,2,4,Residential
571,15,7,4,Residential
572,15,8,4,Residential
573,15,12,4,Residential
574,15,13,4,Residential
575,15,14,4,Residential
576,15,15,4,Residential
577,15,16,4,Residential
578,15,17,4,Residential
579,15,18,4,Residential
580,15,19,4,Residential
581,34,1,4,Commercial
582,34,2,4,Residential
583,34,3,4,Commercial
584,34,4,4,Commercial
585,34,5,4,Commercial
586,34,6,4,Commercial
587,34,8,4,Commercial
588,34,9,4,Commercial
589,34,10,4,Commercial
590,34,11,4,Commercial
591,34,12,4,Commercial
592,34,13,4,Commercial
593,34,14,4,Commercial
594,34,15,4,Commercial
595,34,16,4,Commercial
596,34,17,4,Commercial
597,34,18,4,Residential
598,35,1,4,Commercial
599,35,2,4,Commercial
600,35,3,4,Commercial
601,35,4,4,Commercial
602,35,7,4,Commercial
603,35,8,4,Commercial
604,36,1,4,Residential
605,36,3A,4,Commercial
606,36,3B,4,Commercial
607,36,4,4,Commercial
608,36,6,4,Commercial
609,36,7,4,Residential
